prime_minister_candidate_name,county,num,total_vote_count,offline_vote_count,online_vote_count
Márki-Zay Péter,Fejér,4,870,640,230
Fekete-Győr András,Fejér,4,202,157,45
Dobrev Klára,Fejér,5,1091,978,113
Jakab Péter,Fejér,5,515,394,121
Márki-Zay Péter,Fejér,5,508,303,205
Karácsony Gergely,Fejér,5,364,233,131
Fekete-Győr András,Fejér,5,55,31,24
Dobrev Klára,Győr-Moson-Sopron,1,1989,1844,145
Karácsony Gergely,Győr-Moson-Sopron,1,1548,1176,372
Márki-Zay Péter,Győr-Moson-Sopron,1,1297,899,398
Jakab Péter,Győr-Moson-Sopron,1,587,461,126
Fekete-Győr András,Győr-Moson-Sopron,1,248,159,89
Dobrev Klára,Győr-Moson-Sopron,2,1790,1665,125
Karácsony Gergely,Győr-Moson-Sopron,2,1081,801,280
Márki-Zay Péter,Győr-Moson-Sopron,2,1045,728,317
Jakab Péter,Győr-Moson-Sopron,2,721,581,140
Fekete-Győr András,Győr-Moson-Sopron,2,152,109,43
Dobrev Klára,Győr-Moson-Sopron,3,1069,977,92
Jakab Péter,Győr-Moson-Sopron,3,533,399,134
Karácsony Gergely,Győr-Moson-Sopron,3,508,348,160
Márki-Zay Péter,Győr-Moson-Sopron,3,507,303,204
Fekete-Győr András,Győr-Moson-Sopron,3,73,46,27
Dobrev Klára,Győr-Moson-Sopron,4,1519,1356,163
Karácsony Gergely,Győr-Moson-Sopron,4,1113,804,309
Márki-Zay Péter,Győr-Moson-Sopron,4,942,628,314
Jakab Péter,Győr-Moson-Sopron,4,870,749,121
Fekete-Győr András,Győr-Moson-Sopron,4,134,91,43
Dobrev Klára,Győr-Moson-Sopron,5,1626,1522,104
Jakab Péter,Győr-Moson-Sopron,5,1048,911,137
Karácsony Gergely,Győr-Moson-Sopron,5,820,592,228
Márki-Zay Péter,Győr-Moson-Sopron,5,798,519,279
Fekete-Győr András,Győr-Moson-Sopron,5,201,160,41
Dobrev Klára,Hajdú-Bihar,1,2263,2080,183
Karácsony Gergely,Hajdú-Bihar,1,1660,1253,407
Márki-Zay Péter,Hajdú-Bihar,1,1419,993,426
Jakab Péter,Hajdú-Bihar,1,588,457,131
Fekete-Győr András,Hajdú-Bihar,1,240,171,69
Dobrev Klára,Hajdú-Bihar,2,2081,1896,185
Karácsony Gergely,Hajdú-Bihar,2,1283,956,327
Márki-Zay Péter,Hajdú-Bihar,2,1195,860,335
Jakab Péter,Hajdú-Bihar,2,693,522,171
Fekete-Győr András,Hajdú-Bihar,2,232,168,64
Dobrev Klára,Hajdú-Bihar,3,1187,1087,100
Jakab Péter,Hajdú-Bihar,3,1021,867,154
Márki-Zay Péter,Hajdú-Bihar,3,713,451,262
Karácsony Gergely,Hajdú-Bihar,3,693,502,191
Fekete-Győr András,Hajdú-Bihar,3,115,78,37
Dobrev Klára,Hajdú-Bihar,4,966,867,99
Karácsony Gergely,Hajdú-Bihar,4,638,512,126
Jakab Péter,Hajdú-Bihar,4,414,290,124
Márki-Zay Péter,Hajdú-Bihar,4,379,211,168
Fekete-Győr András,Hajdú-Bihar,4,62,33,29
Dobrev Klára,Hajdú-Bihar,5,1283,1186,97
Jakab Péter,Hajdú-Bihar,5,591,448,143
Karácsony Gergely,Hajdú-Bihar,5,580,411,169
Márki-Zay Péter,Hajdú-Bihar,5,576,359,217
Fekete-Győr András,Hajdú-Bihar,5,99,67,32
Dobrev Klára,Hajdú-Bihar,6,2007,1901,106
Jakab Péter,Hajdú-Bihar,6,1511,1307,204
Márki-Zay Péter,Hajdú-Bihar,6,780,522,258
Karácsony Gergely,Hajdú-Bihar,6,725,608,117
Fekete-Győr András,Hajdú-Bihar,6,143,119,24
Dobrev Klára,Heves,1,2215,2040,175
Karácsony Gergely,Heves,1,1360,1003,357
Márki-Zay Péter,Heves,1,1002,631,371
Jakab Péter,Heves,1,705,542,163
Fekete-Győr András,Heves,1,239,169,70
Dobrev Klára,Heves,2,2181,2014,167
Jakab Péter,Heves,2,1186,1022,164
Karácsony Gergely,Heves,2,775,586,189
Márki-Zay Péter,Heves,2,763,513,250
Fekete-Győr András,Heves,2,106,59,47
Dobrev Klára,Heves,3,1739,1622,117
Jakab Péter,Heves,3,892,733,159
Karácsony Gergely,Heves,3,708,543,165
Márki-Zay Péter,Heves,3,689,505,184
Fekete-Győr András,Heves,3,241,209,32
Dobrev Klára,Jász-Nagykun-Szolnok,1,2768,2535,233
Karácsony Gergely,Jász-Nagykun-Szolnok,1,1472,1066,406
Márki-Zay Péter,Jász-Nagykun-Szolnok,1,1119,740,379
Jakab Péter,Jász-Nagykun-Szolnok,1,965,771,194
Fekete-Győr András,Jász-Nagykun-Szolnok,1,168,106,62
Dobrev Klára,Jász-Nagykun-Szolnok,2,1090,1090,0
Karácsony Gergely,Jász-Nagykun-Szolnok,2,762,762,0
Márki-Zay Péter,Jász-Nagykun-Szolnok,2,571,571,0
Jakab Péter,Jász-Nagykun-Szolnok,2,555,555,0
Fekete-Győr András,Jász-Nagykun-Szolnok,2,79,79,0
Jakab Péter,Jász-Nagykun-Szolnok,3,1603,1443,160
Dobrev Klára,Jász-Nagykun-Szolnok,3,1300,1201,99
Karácsony Gergely,Jász-Nagykun-Szolnok,3,523,348,175
Márki-Zay Péter,Jász-Nagykun-Szolnok,3,448,247,201
Fekete-Győr András,Jász-Nagykun-Szolnok,3,80,48,32
Dobrev Klára,Jász-Nagykun-Szolnok,4,1661,1564,97
Jakab Péter,Jász-Nagykun-Szolnok,4,1306,1135,171
Márki-Zay Péter,Jász-Nagykun-Szolnok,4,735,524,211
Karácsony Gergely,Jász-Nagykun-Szolnok,4,556,398,158
Fekete-Győr András,Jász-Nagykun-Szolnok,4,53,31,22
Dobrev Klára,Komárom-Esztergom,1,2949,2760,189
Karácsony Gergely,Komárom-Esztergom,1,1451,1144,307
